Customer_ID,Customer_Name,Invoice_Number,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Outstanding_Balance,Days_Outstanding,Status,Cost_Center,Region
CUST001,Woolworths Group Ltd,INV-2026-0634,2026-06-05,2026-06-05,1245000.00,1245000.00,0.00,0,Paid,NSW,New South Wales
CUST002,Coles Group Ltd,INV-2026-0635,2026-06-06,2026-06-06,987500.00,987500.00,0.00,0,Paid,VIC,Victoria
CUST003,Wesfarmers Ltd,INV-2026-0636,2026-06-07,2026-06-07,1567800.00,1567800.00,0.00,0,Paid,WA,Western Australia
CUST004,BHP Group,INV-2026-0637,2026-06-08,2026-06-08,2345000.00,2345000.00,0.00,0,Paid,VIC,Victoria
CUST005,Commonwealth Bank,INV-2026-0638,2026-06-09,2026-06-09,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST006,Telstra Corporation,INV-2026-0639,2026-06-10,2026-06-10,1234500.00,1234500.00,0.00,0,Paid,VIC,Victoria
CUST007,Rio Tinto,INV-2026-0640,2026-06-11,2026-06-11,1987600.00,1987600.00,0.00,0,Paid,WA,Western Australia
CUST008,Westpac Banking Corp,INV-2026-0641,2026-06-12,2026-06-12,765400.00,765400.00,0.00,0,Paid,NSW,New South Wales
CUST009,ANZ Banking Group,INV-2026-0642,2026-06-13,2026-06-13,654300.00,654300.00,0.00,0,Paid,VIC,Victoria
CUST010,National Australia Bank,INV-2026-0643,2026-06-14,2026-06-14,543200.00,543200.00,0.00,0,Paid,VIC,Victoria
CUST011,Qantas Airways,INV-2026-0644,2026-06-15,2026-06-15,432100.00,432100.00,0.00,0,Paid,NSW,New South Wales
CUST012,Woodside Energy,INV-2026-0645,2026-06-16,2026-06-16,876500.00,876500.00,0.00,0,Paid,WA,Western Australia
CUST013,Fortescue Metals,INV-2026-0646,2026-06-17,2026-06-17,1234500.00,1234500.00,0.00,0,Paid,WA,Western Australia
CUST014,Macquarie Group,INV-2026-0647,2026-06-18,2026-06-18,567800.00,567800.00,0.00,0,Paid,NSW,New South Wales
CUST015,CSL Limited,INV-2026-0648,2026-06-19,2026-06-19,987600.00,987600.00,0.00,0,Paid,VIC,Victoria
CUST016,Transurban Group,INV-2026-0649,2026-06-20,2026-06-20,345600.00,345600.00,0.00,0,Paid,VIC,Victoria
CUST017,Scentre Group,INV-2026-0650,2026-06-21,2026-06-21,234500.00,234500.00,0.00,0,Paid,NSW,New South Wales
CUST018,Goodman Group,INV-2026-0651,2026-06-22,2026-06-22,456700.00,456700.00,0.00,0,Paid,NSW,New South Wales
CUST019,Brambles Limited,INV-2026-0652,2026-06-23,2026-06-23,678900.00,678900.00,0.00,0,Paid,NSW,New South Wales
CUST020,Sonic Healthcare,INV-2026-0653,2026-06-24,2026-06-24,345600.00,345600.00,0.00,0,Paid,NSW,New South Wales
CUST021,Cochlear Limited,INV-2026-0654,2026-06-25,2026-06-25,234500.00,200000.00,34500.00,3,Partial,NSW,New South Wales
CUST022,ResMed Inc,INV-2026-0655,2026-06-26,2026-06-26,456700.00,0.00,456700.00,2,Outstanding,NSW,New South Wales
CUST023,Aristocrat Leisure,INV-2026-0656,2026-06-27,2026-06-27,567800.00,0.00,567800.00,1,Outstanding,NSW,New South Wales
CUST024,Ramsay Health Care,INV-2026-0657,2026-06-31,2026-06-31,345600.00,0.00,345600.00,0,Outstanding,VIC,Victoria
CUST025,Amcor PLC,INV-2026-0658,2026-01-15,2026-06-15,876500.00,800000.00,76500.00,13,Overdue,VIC,Victoria
CUST026,Newcrest Mining,INV-2026-0659,2026-01-20,2026-06-20,1234500.00,1100000.00,134500.00,8,Overdue,NSW,New South Wales
CUST027,South32 Limited,INV-2026-0660,2026-01-25,2026-06-25,987600.00,900000.00,87600.00,3,Overdue,WA,Western Australia
CUST028,Incitec Pivot,INV-2026-0661,2026-01-10,2026-06-10,654300.00,0.00,654300.00,18,Overdue,QLD,Queensland
CUST029,Orica Limited,INV-2026-0662,2026-01-12,2026-06-12,543200.00,0.00,543200.00,16,Overdue,VIC,Victoria
CUST030,BlueScope Steel,INV-2026-0663,2026-01-18,2026-06-18,432100.00,0.00,432100.00,10,Overdue,NSW,New South Wales
CUST031,Dexus Property,INV-2026-0664,2026-06-01,2026-06-01,765400.00,765400.00,0.00,0,Paid,NSW,New South Wales
CUST032,GPT Group,INV-2026-0665,2026-06-02,2026-06-02,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST033,Stockland Corporation,INV-2026-0666,2026-06-03,2026-06-03,987600.00,987600.00,0.00,0,Paid,NSW,New South Wales
CUST034,Mirvac Group,INV-2026-0667,2026-06-04,2026-06-04,654300.00,654300.00,0.00,0,Paid,NSW,New South Wales
CUST035,Charter Hall Group,INV-2026-0668,2026-06-05,2026-06-05,543200.00,543200.00,0.00,0,Paid,NSW,New South Wales
CUST036,APA Group,INV-2026-0669,2026-06-06,2026-06-06,432100.00,432100.00,0.00,0,Paid,NSW,New South Wales
CUST037,Aurizon Holdings,INV-2026-0670,2026-06-07,2026-06-07,765400.00,765400.00,0.00,0,Paid,QLD,Queensland
CUST038,Sydney Airport,INV-2026-0671,2026-06-08,2026-06-08,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST039,Auckland Airport,INV-2026-0672,2026-06-09,2026-06-09,987600.00,0.00,987600.00,19,Outstanding,,,
CUST040,Spark New Zealand,INV-2026-0673,2026-06-10,2026-06-10,654300.00,0.00,654300.00,18,Outstanding,,,
CUST041,Fisher & Paykel Healthcare,INV-2026-0674,2026-01-05,2026-06-05,1876500.00,1800000.00,76500.00,23,Overdue,,,
CUST042,a2 Milk Company,INV-2026-0675,2026-01-08,2026-06-08,1234500.00,0.00,1234500.00,20,Overdue,,,
CUST043,Xero Limited,INV-2026-0676,2026-06-11,2026-06-11,543200.00,543200.00,0.00,0,Paid,,,
