Customer_ID,Customer_Name,Invoice_Number,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Outstanding_Balance,Days_Outstanding,Status,Cost_Center,Region
CUST001,Woolworths Group Ltd,INV-2026-0534,2026-05-05,2026-05-05,1245000.00,1245000.00,0.00,0,Paid,NSW,New South Wales
CUST002,Coles Group Ltd,INV-2026-0535,2026-05-06,2026-05-06,987500.00,987500.00,0.00,0,Paid,VIC,Victoria
CUST003,Wesfarmers Ltd,INV-2026-0536,2026-05-07,2026-05-07,1567800.00,1567800.00,0.00,0,Paid,WA,Western Australia
CUST004,BHP Group,INV-2026-0537,2026-05-08,2026-05-08,2345000.00,2345000.00,0.00,0,Paid,VIC,Victoria
CUST005,Commonwealth Bank,INV-2026-0538,2026-05-09,2026-05-09,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST006,Telstra Corporation,INV-2026-0539,2026-05-10,2026-05-10,1234500.00,1234500.00,0.00,0,Paid,VIC,Victoria
CUST007,Rio Tinto,INV-2026-0540,2026-05-11,2026-05-11,1987600.00,1987600.00,0.00,0,Paid,WA,Western Australia
CUST008,Westpac Banking Corp,INV-2026-0541,2026-05-12,2026-05-12,765400.00,765400.00,0.00,0,Paid,NSW,New South Wales
CUST009,ANZ Banking Group,INV-2026-0542,2026-05-13,2026-05-13,654300.00,654300.00,0.00,0,Paid,VIC,Victoria
CUST010,National Australia Bank,INV-2026-0543,2026-05-14,2026-05-14,543200.00,543200.00,0.00,0,Paid,VIC,Victoria
CUST011,Qantas Airways,INV-2026-0544,2026-05-15,2026-05-15,432100.00,432100.00,0.00,0,Paid,NSW,New South Wales
CUST012,Woodside Energy,INV-2026-0545,2026-05-16,2026-05-16,876500.00,876500.00,0.00,0,Paid,WA,Western Australia
CUST013,Fortescue Metals,INV-2026-0546,2026-05-17,2026-05-17,1234500.00,1234500.00,0.00,0,Paid,WA,Western Australia
CUST014,Macquarie Group,INV-2026-0547,2026-05-18,2026-05-18,567800.00,567800.00,0.00,0,Paid,NSW,New South Wales
CUST015,CSL Limited,INV-2026-0548,2026-05-19,2026-05-19,987600.00,987600.00,0.00,0,Paid,VIC,Victoria
CUST016,Transurban Group,INV-2026-0549,2026-05-20,2026-05-20,345600.00,345600.00,0.00,0,Paid,VIC,Victoria
CUST017,Scentre Group,INV-2026-0550,2026-05-21,2026-05-21,234500.00,234500.00,0.00,0,Paid,NSW,New South Wales
CUST018,Goodman Group,INV-2026-0551,2026-05-22,2026-05-22,456700.00,456700.00,0.00,0,Paid,NSW,New South Wales
CUST019,Brambles Limited,INV-2026-0552,2026-05-23,2026-05-23,678900.00,678900.00,0.00,0,Paid,NSW,New South Wales
CUST020,Sonic Healthcare,INV-2026-0553,2026-05-24,2026-05-24,345600.00,345600.00,0.00,0,Paid,NSW,New South Wales
CUST021,Cochlear Limited,INV-2026-0554,2026-05-25,2026-05-25,234500.00,200000.00,34500.00,3,Partial,NSW,New South Wales
CUST022,ResMed Inc,INV-2026-0555,2026-05-26,2026-05-26,456700.00,0.00,456700.00,2,Outstanding,NSW,New South Wales
CUST023,Aristocrat Leisure,INV-2026-0556,2026-05-27,2026-05-27,567800.00,0.00,567800.00,1,Outstanding,NSW,New South Wales
CUST024,Ramsay Health Care,INV-2026-0557,2026-05-31,2026-05-31,345600.00,0.00,345600.00,0,Outstanding,VIC,Victoria
CUST025,Amcor PLC,INV-2026-0558,2026-01-15,2026-05-15,876500.00,800000.00,76500.00,13,Overdue,VIC,Victoria
CUST026,Newcrest Mining,INV-2026-0559,2026-01-20,2026-05-20,1234500.00,1100000.00,134500.00,8,Overdue,NSW,New South Wales
CUST027,South32 Limited,INV-2026-0560,2026-01-25,2026-05-25,987600.00,900000.00,87600.00,3,Overdue,WA,Western Australia
CUST028,Incitec Pivot,INV-2026-0561,2026-01-10,2026-05-10,654300.00,0.00,654300.00,18,Overdue,QLD,Queensland
CUST029,Orica Limited,INV-2026-0562,2026-01-12,2026-05-12,543200.00,0.00,543200.00,16,Overdue,VIC,Victoria
CUST030,BlueScope Steel,INV-2026-0563,2026-01-18,2026-05-18,432100.00,0.00,432100.00,10,Overdue,NSW,New South Wales
CUST031,Dexus Property,INV-2026-0564,2026-05-01,2026-05-01,765400.00,765400.00,0.00,0,Paid,NSW,New South Wales
CUST032,GPT Group,INV-2026-0565,2026-05-02,2026-05-02,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST033,Stockland Corporation,INV-2026-0566,2026-05-03,2026-05-03,987600.00,987600.00,0.00,0,Paid,NSW,New South Wales
CUST034,Mirvac Group,INV-2026-0567,2026-05-04,2026-05-04,654300.00,654300.00,0.00,0,Paid,NSW,New South Wales
CUST035,Charter Hall Group,INV-2026-0568,2026-05-05,2026-05-05,543200.00,543200.00,0.00,0,Paid,NSW,New South Wales
CUST036,APA Group,INV-2026-0569,2026-05-06,2026-05-06,432100.00,432100.00,0.00,0,Paid,NSW,New South Wales
CUST037,Aurizon Holdings,INV-2026-0570,2026-05-07,2026-05-07,765400.00,765400.00,0.00,0,Paid,QLD,Queensland
CUST038,Sydney Airport,INV-2026-0571,2026-05-08,2026-05-08,876500.00,876500.00,0.00,0,Paid,NSW,New South Wales
CUST039,Auckland Airport,INV-2026-0572,2026-05-09,2026-05-09,987600.00,0.00,987600.00,19,Outstanding,,,
CUST040,Spark New Zealand,INV-2026-0573,2026-05-10,2026-05-10,654300.00,0.00,654300.00,18,Outstanding,,,
CUST041,Fisher & Paykel Healthcare,INV-2026-0574,2026-01-05,2026-05-05,1876500.00,1800000.00,76500.00,23,Overdue,,,
CUST042,a2 Milk Company,INV-2026-0575,2026-01-08,2026-05-08,1234500.00,0.00,1234500.00,20,Overdue,,,
CUST043,Xero Limited,INV-2026-0576,2026-05-11,2026-05-11,543200.00,543200.00,0.00,0,Paid,,,
CUST044,Afterpay (Block Inc),INV-2026-0577,2026-05-12,2026-05-12,432100.00,0.00,432100.00,16,Outstanding,VIC,Victoria
CUST045,Atlassian Corporation,INV-2026-0578,2026-05-13,2026-05-13,2345000.00,2345000.00,0.00,0,Paid,NSW,New South Wales
CUST046,Canva Pty Ltd,INV-2026-0579,2026-05-14,2026-05-14,1567800.00,0.00,1567800.00,14,Outstanding,NSW,New South Wales
CUST047,Zip Co Limited,INV-2026-0580,2026-05-15,2026-05-15,876500.00,0.00,876500.00,13,Outstanding,NSW,New South Wales
CUST048,Tyro Payments,INV-2026-0581,2026-05-16,2026-05-16,654300.00,654300.00,0.00,0,Paid,NSW,New South Wales
CUST049,Afterpay Touch Group,INV-2026-0582,2026-01-20,2026-05-20,987600.00,900000.00,87600.00,8,Overdue,VIC,Victoria
CUST050,WiseTech Global,INV-2026-0583,2026-05-17,2026-05-17,1234500.00,1234500.00,0.00,0,Paid,NSW,New South Wales
