JE_Number,JE_Date,Entity,GL_Account_Code,Account_Name,Debit_AUD,Credit_AUD,Description,Accrual_ID,Related_GL_Txn_IDs,Adjustment_Type,Prepared_By,Approved_By,Status
ACCADJ-001,2026-07-31,AUS01,5110,Utilities Expense,0.00,1800.00,Reduce utilities accrual - actual lower than estimate,ACC-001,TXN000006,True-Up,AI_Agent,Auto_Approved,Posted
ACCADJ-001,2026-07-31,AUS01,2010,Accrued Expenses,1800.00,0.00,Reduce utilities accrual - actual lower than estimate,ACC-001,,True-Up,AI_Agent,Auto_Approved,Posted
ACCADJ-002,2026-07-31,AUS01,5400,Travel Expense,22000.00,0.00,Additional marketing expense not accrued,ACC-003,TXN000016,TXN000026,Catch-Up,AI_Agent,CFO_Pending,Draft
ACCADJ-002,2026-07-31,AUS01,2010,Accrued Expenses,0.00,22000.00,Additional marketing expense not accrued,ACC-003,,Catch-Up,AI_Agent,CFO_Pending,Draft
ACCADJ-003,2026-07-31,AUS01,5600,Telecommunications,1500.00,0.00,Additional telecom charges - mobile data,ACC-005,TXN000047,TXN000059,True-Up,AI_Agent,Auto_Approved,Posted
ACCADJ-003,2026-07-31,AUS01,2010,Accrued Expenses,0.00,1500.00,Additional telecom charges - mobile data,ACC-005,,True-Up,AI_Agent,Auto_Approved,Posted
ACCADJ-004,2026-07-31,AUS01,5310,Legal Fees,22000.00,0.00,Additional legal fees not accrued,ACC-007,TXN000009,TXN000021,Catch-Up,AI_Agent,CFO_Pending,Draft
ACCADJ-004,2026-07-31,AUS01,2010,Accrued Expenses,0.00,22000.00,Additional legal fees not accrued,ACC-007,,Catch-Up,AI_Agent,CFO_Pending,Draft
ACCADJ-005,2026-07-31,AUS01,5300,Professional Services,125000.00,0.00,Unaccrued consulting expense,ACC-008,TXN000003,TXN000022,Catch-Up,AI_Agent,CFO_Pending,Draft
ACCADJ-005,2026-07-31,AUS01,2010,Accrued Expenses,0.00,125000.00,Unaccrued consulting expense,ACC-008,,Catch-Up,AI_Agent,CFO_Pending,Draft
