Demo_Task,Fiscal_Period,ESG_Record_ID,Linked_GL_Txn_ID,Entity,Cost_Center,Cost_Center_Name,ESG_Category,Account_Code,Account_Name,Supplier,Invoice_Number,PO_Number,Spend_AUD,Sustainability_KPI,KPI_Target,KPI_Actual,KPI_Attainment_Percent,Carbon_tCO2e,Renewable_Source_Percent,Supplier_ESG_Score,Working_Capital_Impact_AUD,Margin_Impact_Points,Misclassification_Flag,Leakage_Flag,Disclosure_Evidence_Status,Audit_Readiness,Recommended_Action,Approval_Required,Source_File_Target
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0001,TXN006209,AUS01,NT,"Northern Territory Operations","Supplier ESG premium",6010,"Direct Materials","Climate Active Advisor",BOB-ESG-0001,PO-ESG-8547,11990.95,audit_evidence_count,239.18,186.90,78.1,530.56,73.9,57,-590.22,-0.42,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0002,TXN006210,AUS01,R&D,"Research & Development","Waste reduction",5600,Telecommunications,"Sustainable Packaging Co",BOB-ESG-0002,PO-ESG-8464,112056.80,"tCO2e avoided",756.59,788.97,104.3,110.78,1.7,92,72699.21,-0.59,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0003,TXN006211,AUS01,VIC,"Victoria Operations","Renewable sourcing premium",6000,"Cost of Goods Sold","Energy Australia",BOB-ESG-0003,PO-ESG-4785,63693.42,waste_kg_reduced,912.77,599.73,65.7,207.86,53.4,58,-47414.06,-0.12,No,None,Partial,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0004,TXN006212,AUS01,WA,"Western Australia Operations","Fleet emissions",5400,Travel,EcoVadis,BOB-ESG-0004,PO-ESG-9160,86322.82,"tCO2e avoided",838.96,768.26,91.6,350.48,68.0,73,34646.99,-0.04,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0005,TXN006213,NZL01,R&D,"Research & Development","Energy usage",5110,Utilities,"Origin Energy",BOB-ESG-0005,PO-ESG-7167,46949.13,supplier_score,575.80,654.33,113.6,488.34,85.2,50,8518.15,-0.64,No,None,Complete,Partial,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0006,TXN006214,AUS01,TAS,"Tasmania Operations","Fleet emissions",5400,Travel,EcoVadis,BOB-ESG-0006,PO-ESG-8168,29289.87,"tCO2e avoided",465.32,380.01,81.7,46.63,4.9,67,-3262.93,-0.69,No,None,Missing,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0007,TXN006215,NZL01,FIN,"Finance & Accounting","Energy usage",5110,Utilities,"Climate Active Advisor",BOB-ESG-0007,PO-ESG-4214,112043.55,waste_kg_reduced,841.16,847.20,100.7,45.02,71.3,62,37439.28,-0.03,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0008,TXN006216,NZL01,VIC,"Victoria Operations","Waste reduction",5600,Telecommunications,"Sustainable Packaging Co",BOB-ESG-0008,PO-ESG-2196,108757.98,waste_kg_reduced,529.59,498.66,94.2,497.33,94.7,46,-3152.93,-0.69,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0009,TXN006217,PNG01,R&D,"Research & Development","Supplier ESG premium",6010,"Direct Materials","Carbon Neutral Pty Ltd",BOB-ESG-0009,PO-ESG-4631,65121.01,audit_evidence_count,291.55,295.44,101.3,525.99,54.1,72,23820.79,-0.53,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0010,TXN006218,AUS01,VIC,"Victoria Operations","Sustainable packaging",6010,"Direct Materials","Green Freight",BOB-ESG-0010,PO-ESG-8217,96248.88,audit_evidence_count,628.45,410.17,65.3,107.16,44.2,79,-6747.16,-0.55,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0011,TXN006219,AUS01,MKT,"Marketing & Sales","Supplier ESG premium",6010,"Direct Materials",EcoVadis,BOB-ESG-0011,PO-ESG-7417,117136.08,audit_evidence_count,824.00,737.16,89.5,330.82,90.4,62,-19179.84,-0.04,No,None,Complete,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0012,TXN006220,AUS01,ACT,"Australian Capital Territory","Supplier ESG premium",6010,"Direct Materials","Origin Energy",BOB-ESG-0012,PO-ESG-2460,111182.40,audit_evidence_count,116.60,118.45,101.6,34.37,87.7,62,59373.00,-0.01,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0013,TXN006221,AUS01,HR,"Human Resources","Fleet emissions",5400,Travel,"Climate Active Advisor",BOB-ESG-0013,PO-ESG-7823,44644.34,waste_kg_reduced,273.36,205.91,75.3,188.55,77.2,79,-49222.79,-0.69,No,None,Complete,Ready,"No action",No,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
"IBM BOB 3 - ESG",2026-08,ESG-MAR26-0014,TXN006222,AUS01,TAS,"Tasmania Operations","Sustainable packaging",6010,"Direct Materials","Origin Energy",BOB-ESG-0014,PO-ESG-9452,98272.73,"tCO2e avoided",81.42,97.78,120.1,266.90,54.8,60,45748.10,-0.06,No,None,Missing,"Needs review","CFO approval for material ESG spend",Yes,"IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv"
