Employee_ID,Business_Unit,Department,Role,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Risk_Flag,Recommended_Action,Fiscal_Period
EMP001,QLD,Sales,Manager,210000,1200,36750,0,247950,175,89,2850,3200000,86.93,None,,2026-04
EMP002,QLD,Sales,Senior Analyst,175000,800,29050,0,204850,172,88,2650,3100000,77.30,None,,2026-04
EMP003,QLD,Sales,Analyst,145000,600,21750,0,167350,170,87,2400,2900000,69.73,None,,2026-04
EMP004,QLD,Operations,Manager,215000,1500,37625,0,254125,178,90,2950,3400000,86.16,None,,2026-04
EMP005,QLD,Operations,Senior Analyst,182000,900,30940,0,213840,174,88,2720,3150000,78.60,None,,2026-04
EMP006,QLD,Operations,Analyst,148000,700,22200,0,170900,171,86,2300,2850000,74.30,None,,2026-04
EMP007,QLD,Finance,Manager,200000,400,34000,0,234400,176,85,2650,3050000,88.49,None,,2026-04
EMP008,QLD,Finance,Senior Analyst,165000,350,27225,0,192575,170,83,2100,2650000,91.70,None,,2026-04
EMP009,QLD,Finance,Analyst,138000,250,20700,0,158950,168,82,1950,2400000,81.51,None,,2026-04
EMP010,QLD,IT,Manager,225000,600,37875,0,263475,179,91,3100,3600000,84.99,None,,2026-04
EMP011,QLD,IT,Senior Analyst,190000,450,31350,0,221800,175,89,2850,3250000,77.81,None,,2026-04
EMP012,QLD,IT,Analyst,152000,350,22800,0,175150,172,87,2400,2850000,73.00,None,,2026-04
EMP013,QLD,IT,Specialist,165000,500,25950,0,191450,170,86,2550,2950000,75.08,None,,2026-04
EMP014,QLD,Sales,Coordinator,110000,200,16500,0,126700,165,84,1650,1950000,76.79,None,,2026-04
EMP015,QLD,Operations,Coordinator,108000,250,16200,0,124450,164,83,1600,1850000,77.78,None,,2026-04
EMP016,QLD,Finance,Associate,85000,150,12750,0,97900,160,80,1200,1450000,81.58,None,,2026-04
EMP017,QLD,IT,Associate,90000,200,13500,0,103700,162,81,1350,1650000,76.81,None,,2026-04
EMP018,QLD,Sales,Lead,195000,700,32175,0,227875,173,87,2700,3100000,84.39,None,,2026-04
EMP019,NSW,Sales,Manager,185000,6500,31450,0,222950,168,58,1850,2100000,120.51,High Overtime,Review workload distribution and hiring needs,2026-04
EMP020,NSW,Sales,Senior Analyst,155000,5200,25750,0,185950,165,61,1550,1850000,119.97,High Overtime,Review workload distribution and hiring needs,2026-04
EMP021,NSW,Sales,Analyst,125000,4800,18750,0,148550,160,60,1200,1450000,123.79,High Overtime,Review workload distribution and hiring needs,2026-04
