token,type,description,amount,created_at,fiscal_period,entity,status,decision,processed_at,metadata_summary
765fd04a-cd6a-4db3-b296-ade08d9a1ad1,P&L Line Item,Salaries and wages (5000),410010.74,2026-06-30T11:11:41.625618,2026-06,AUS01,PENDING,,,
338163cd-79f3-4f37-890b-a00b3e87b8bc,P&L Line Item,Salaries and wages (5000),324718.15,2026-06-30T11:11:41.625618,2026-06,AUS01,PENDING,,,
f5270f0a-e491-4ced-91dc-21adc4ab66e0,P&L Line Item,Employee benefits (5010),454648.01,2026-06-30T11:11:41.641473,2026-06,AUS01,PENDING,,,
b5d0cfe3-4aed-480c-8fbe-b11a504c9561,P&L Line Item,Direct labor (6020),423915.7,2026-06-30T11:11:41.644226,2026-06,AUS01,PENDING,,,
c3e081a5-a701-4af5-bc36-d8d22e873c0f,P&L Line Item,Product sales (4000),1279214.73,2026-06-30T11:11:41.645227,2026-06,AUS01,PENDING,,,
aa5b0da5-fc38-4fd7-acd2-e4f5c3077925,P&L Line Item,Salaries and wages (5000),410010.74,2026-06-30T11:12:35.460649,2026-06,AUS01,PENDING,,,
ca0ae085-9134-4168-bb8e-7e53ac23852c,P&L Line Item,Salaries and wages (5000),324718.15,2026-06-30T11:12:35.462665,2026-06,AUS01,PENDING,,,
278d4575-3536-485f-b871-4693a3fedfb1,P&L Line Item,Employee benefits (5010),454648.01,2026-06-30T11:12:35.464656,2026-06,AUS01,PENDING,,,
0f496dd1-2274-4bfd-8674-d239f6088083,P&L Line Item,Direct labor (6020),423915.7,2026-06-30T11:12:35.466804,2026-06,AUS01,PENDING,,,
a14f3511-31d7-43e7-9e52-53829b119466,P&L Line Item,Product sales (4000),1279214.73,2026-06-30T11:12:35.467806,2026-06,AUS01,PENDING,,,
